2018-02-15 12:27:45,536 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\WorkGround\HappiestMindsWorkSpace\HibernateWorks\src\main\resources
2018-02-15 12:27:45,538 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-15 12:27:45,545 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\WorkGround\HappiestMindsWorkSpace\HibernateWorks\src\test\resources
2018-02-15 12:29:54,498 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.hm.hibernate:HibernateWorks:0.0.1-SNAPSHOT @ C:\WorkGround\HappiestMindsWorkSpace\HibernateWorks\pom.xml.
2018-02-15 12:29:54,750 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-15 12:29:54,761 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\WorkGround\HappiestMindsWorkSpace\HibernateWorks\src\main\resources
2018-02-15 12:29:54,767 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-15 12:29:54,777 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\WorkGround\HappiestMindsWorkSpace\HibernateWorks\src\test\resources
2018-02-15 12:30:22,733 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.hm.hibernate:HibernateWorks:0.0.1-SNAPSHOT @ C:\WorkGround\HappiestMindsWorkSpace\HibernateWorks\pom.xml.
2018-02-15 12:30:22,976 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-15 12:30:22,983 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\WorkGround\HappiestMindsWorkSpace\HibernateWorks\src\main\resources
2018-02-15 12:30:22,988 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-15 12:30:23,001 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\WorkGround\HappiestMindsWorkSpace\HibernateWorks\src\test\resources
2018-02-15 12:31:55,800 [Worker-23] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.hm.hibernate:HibernateWorks:0.0.1-SNAPSHOT @ C:\WorkGround\HappiestMindsWorkSpace\HibernateWorks\pom.xml.
2018-02-15 12:31:56,437 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-15 12:31:56,450 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\WorkGround\HappiestMindsWorkSpace\HibernateWorks\src\main\resources
2018-02-15 12:31:56,456 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-15 12:31:56,467 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\WorkGround\HappiestMindsWorkSpace\HibernateWorks\src\test\resources
2018-02-15 12:31:58,160 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-15 12:31:58,175 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\WorkGround\HappiestMindsWorkSpace\HibernateWorks\src\main\resources
2018-02-15 12:31:58,182 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-15 12:31:58,197 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\WorkGround\HappiestMindsWorkSpace\HibernateWorks\src\test\resources
2018-02-15 12:36:06,131 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-15 12:36:06,155 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\WorkGround\HappiestMindsWorkSpace\HibernateWorks\src\main\resources
2018-02-15 12:36:06,165 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-15 12:36:06,176 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\WorkGround\HappiestMindsWorkSpace\HibernateWorks\src\test\resources
2018-02-15 12:37:26,400 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-15 12:37:26,443 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\WorkGround\HappiestMindsWorkSpace\HibernateWorks\src\main\resources
2018-02-15 12:37:26,459 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-15 12:37:26,481 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\WorkGround\HappiestMindsWorkSpace\HibernateWorks\src\test\resources
2018-02-15 12:38:30,976 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-15 12:38:30,987 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\WorkGround\HappiestMindsWorkSpace\HibernateWorks\src\main\resources
2018-02-15 12:38:30,992 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-15 12:38:31,003 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\WorkGround\HappiestMindsWorkSpace\HibernateWorks\src\test\resources
2018-02-15 12:39:14,884 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-15 12:39:14,899 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\WorkGround\HappiestMindsWorkSpace\HibernateWorks\src\main\resources
2018-02-15 12:39:14,904 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-15 12:39:14,917 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\WorkGround\HappiestMindsWorkSpace\HibernateWorks\src\test\resources
2018-02-15 12:42:29,602 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-15 12:42:29,615 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\WorkGround\HappiestMindsWorkSpace\HibernateWorks\src\main\resources
2018-02-15 12:42:29,622 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-15 12:42:29,635 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\WorkGround\HappiestMindsWorkSpace\HibernateWorks\src\test\resources
2018-02-15 12:52:51,650 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-15 12:52:51,660 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\WorkGround\HappiestMindsWorkSpace\HibernateWorks\src\main\resources
2018-02-15 12:52:51,667 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-15 12:52:51,675 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\WorkGround\HappiestMindsWorkSpace\HibernateWorks\src\test\resources
2018-02-15 12:53:41,228 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-15 12:53:41,245 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\WorkGround\HappiestMindsWorkSpace\HibernateWorks\src\main\resources
2018-02-15 12:53:41,254 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-15 12:53:41,271 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\WorkGround\HappiestMindsWorkSpace\HibernateWorks\src\test\resources
2018-02-15 12:54:09,558 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-15 12:54:09,575 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\WorkGround\HappiestMindsWorkSpace\HibernateWorks\src\main\resources
